"","fips","month","av_tem"
"402","1075",2,50.075
"403","1075",3,62.7
"404","1075",4,62.05
"405","1075",5,69.3
"406","1075",6,77.85
"407","1075",7,81.95
"408","1075",8,80.525
"409","1075",9,74.15
"410","1075",10,65.6
"411","1077",1,46.7333333333333
"412","1077",2,47.5
"413","1077",3,59.9
"414","1077",4,59.7333333333333
"415","1077",5,67.9
"416","1077",6,76.8333333333333
"417","1077",7,81.5333333333333
"418","1077",8,79
"419","1077",9,73.0333333333333
"420","1077",10,63.2333333333333
"421","1079",1,39.2727272727273
"422","1079",2,39
"423","1079",3,50.6636363636364
"424","1079",4,52.4636363636364
"425","1079",5,61.6181818181818
"426","1079",6,72.5090909090909
"427","1079",7,77.8363636363636
"428","1079",8,74.6727272727273
"429","1079",9,67.6363636363636
"430","1079",10,56.3727272727273
"431","1081",1,45.8916666666667
"432","1081",2,46.6166666666667
"433","1081",3,57.7166666666667
"434","1081",4,59.3416666666667
"435","1081",5,66.925
"436","1081",6,75.9833333333333
"437","1081",7,80.6916666666667
"438","1081",8,78.65
"439","1081",9,71.825
"440","1081",10,63.4916666666667
"441","1083",1,48.4
"442","1083",2,48.45
"443","1083",3,61.2
"444","1083",4,61
"445","1083",5,69.3
"446","1083",6,77.65
"447","1083",7,82.1
"448","1083",8,81.7
"449","1083",9,72.85
"450","1083",10,64.3
"451","1085",1,51.5666666666667
"452","1085",2,53.0333333333333
"453","1085",3,65.4
"454","1085",4,64
"455","1085",5,70.3666666666667
"456","1085",6,78.1333333333333
"457","1085",7,82
"458","1085",8,81.0333333333333
"459","1085",9,76.3333333333333
"460","1085",10,68.6666666666667
"461","1087",1,41.0666666666667
"462","1087",2,41.55
"463","1087",3,53.7166666666667
"464","1087",4,55.5666666666667
"465","1087",5,63.8333333333333
"466","1087",6,73.9333333333333
"467","1087",7,78.2
"468","1087",8,75.9333333333333
"469","1087",9,68.8833333333333
"470","1087",10,59.35
"471","1089",1,37.6947368421053
"472","1089",2,37.8421052631579
"473","1089",3,49.8157894736842
"474","1089",4,52.3473684210526
"475","1089",5,61.4263157894737
"476","1089",6,71.7473684210526
"477","1089",7,76.8368421052632
"478","1089",8,74.2684210526316
"479","1089",9,67
"480","1089",10,56.1894736842105
"481","1091",1,49.3
"482","1091",2,52
"483","1091",3,64.7
"484","1091",4,63
"485","1091",5,69.4
"486","1091",6,77.9
"487","1091",7,81.7
"488","1091",8,81.2
"489","1091",9,76.4
"490","1091",10,67.8
"491","1093",1,41.5705882352941
"492","1093",2,41.8411764705882
"493","1093",3,53.2294117647059
"494","1093",4,55.7058823529412
"495","1093",5,63.8176470588235
"496","1093",6,74.1352941176471
"497","1093",7,78.5117647058824
"498","1093",8,75.8588235294118
"499","1093",9,69.3764705882353
"500","1093",10,59.1529411764706
"501","1095",1,32.65
"502","1095",2,33.1916666666667
"503","1095",3,46.3583333333333
"504","1095",4,50.375
"505","1095",5,60.95
"506","1095",6,73.3083333333333
"507","1095",7,77.4916666666667
"508","1095",8,74.4666666666667
"509","1095",9,65.9416666666667
"510","1095",10,52.6916666666667
"511","1097",1,54.3
"512","1097",2,56.3
"513","1097",3,68.2
"514","1097",4,67.5
"515","1097",5,72.5
"516","1097",6,79.6
"517","1097",7,81.7
"518","1097",8,81.7
"519","1097",9,77.1
"520","1097",10,71.1
"521","1099",1,39.2352941176471
"522","1099",2,39.5823529411765
"523","1099",3,51.0411764705882
"524","1099",4,53.5176470588235
"525","1099",5,62.4941176470588
"526","1099",6,73.0176470588235
"527","1099",7,78.2
"528","1099",8,75.1470588235294
"529","1099",9,67.9117647058823
"530","1099",10,57.6529411764706
"531","1101",1,40.1388888888889
"532","1101",2,40.7111111111111
"533","1101",3,52.4444444444444
"534","1101",4,54.7055555555556
"535","1101",5,63.4
"536","1101",6,74.2722222222222
"537","1101",7,79.2277777777778
"538","1101",8,76.1222222222222
"539","1101",9,68.7388888888889
"540","1101",10,58.3055555555556
"541","1103",1,37.3545454545455
"542","1103",2,37.1
"543","1103",3,48.5090909090909
"544","1103",4,51.3181818181818
"545","1103",5,60.5727272727273
"546","1103",6,71.3363636363636
"547","1103",7,77.0090909090909
"548","1103",8,74.4727272727273
"549","1103",9,66.3272727272727
"550","1103",10,55.5090909090909
"551","1105",1,41.17
"552","1105",2,42.02
"553","1105",3,53.35
"554","1105",4,54.93
"555","1105",5,63.67
"556","1105",6,73.93
"557","1105",7,79.22
"558","1105",8,75.9
"559","1105",9,69.24
"560","1105",10,59.08
"561","1107",1,46.4
"562","1107",2,47.1333333333333
"563","1107",3,58.5666666666667
"564","1107",4,58.7
"565","1107",5,65.3666666666667
"566","1107",6,74.3666666666667
"567","1107",7,79.6
"568","1107",8,77.9
"569","1107",9,71.3666666666667
"570","1107",10,63.8666666666667
"571","1109",1,40.89
"572","1109",2,41.38
"573","1109",3,53.29
"574","1109",4,55.18
"575","1109",5,63.86
"576","1109",6,73.95
"577","1109",7,78.75
"578","1109",8,75.76
"579","1109",9,69.06
"580","1109",10,59.15
"581","1111",1,40.0125
"582","1111",2,40.5
"583","1111",3,52.325
"584","1111",4,54.625
"585","1111",5,62.7
"586","1111",6,73.3
"587","1111",7,78.3
"588","1111",8,75.0625
"589","1111",9,68.0125
"590","1111",10,57.9375
"591","1113",1,40.925
"592","1113",2,42.15
"593","1113",3,53.325
"594","1113",4,55.025
"595","1113",5,62.875
"596","1113",6,73.825
"597","1113",7,78.25
"598","1113",8,76.5
"599","1113",9,68.55
"600","1113",10,59.3
"601","1115",1,37.575
"602","1115",2,37.55
"603","1115",3,49.875
"604","1115",4,52.675
"605","1115",5,62.175
"606","1115",6,74.325
"607","1115",7,79.2
"608","1115",8,75.3
"609","1115",9,68.1
"610","1115",10,56.35
"611","1117",1,37.7666666666667
"612","1117",2,37.6222222222222
"613","1117",3,50.6222222222222
"614","1117",4,53.3777777777778
"615","1117",5,63.0666666666667
"616","1117",6,74.6111111111111
"617","1117",7,78.6
"618","1117",8,75.1111111111111
"619","1117",9,68.3111111111111
"620","1117",10,56.2111111111111
"621","1119",1,53.475
"622","1119",2,55.1
"623","1119",3,65.45
"624","1119",4,65.9
"625","1119",5,71.275
"626","1119",6,78.475
"627","1119",7,82.025
"628","1119",8,81.55
"629","1119",9,76.775
"630","1119",10,70.825
"631","1121",1,48
"632","1121",2,49.6
"633","1121",3,62
"634","1121",4,60.1
"635","1121",5,67.5
"636","1121",6,75.8
"637","1121",7,80.7
"638","1121",8,80
"639","1121",9,73.8
"640","1121",10,66.1
"641","1123",1,47.9
"642","1123",2,49.7
"643","1123",3,61.5
"644","1123",4,60.2
"645","1123",5,67
"646","1123",6,75.6
"647","1123",7,80.4
"648","1123",8,79.7
"649","1123",9,73.4
"650","1123",10,66.4
"651","1125",1,49.2
"652","1125",2,49.7
"653","1125",3,62.8
"654","1125",4,61
"655","1125",5,69
"656","1125",6,76.8
"657","1125",7,81.2
"658","1125",8,80.4
"659","1125",9,74.7
"660","1125",10,66
"661","1127",1,48.8333333333333
"662","1127",2,49
"663","1127",3,61.8333333333333
"664","1127",4,61.1666666666667
"665","1127",5,69.1
"666","1127",6,76.9333333333333
"667","1127",7,81.5666666666667
"668","1127",8,81.1666666666667
"669","1127",9,73.8333333333333
"670","1127",10,65.0333333333333
"671","1129",1,37.0466666666667
"672","1129",2,37.3266666666667
"673","1129",3,48.3866666666667
"674","1129",4,51.7133333333333
