"","countyfp","facemask_never","facemask_rarely","facemask_sometimes","facemask_frequently","facemask_always","fips"
"178","05133",0.12,0.093,0.155,0.165,0.467,5133
"179","05135",0.067,0.158,0.22,0.222,0.333,5135
"180","05137",0.067,0.092,0.11,0.234,0.498,5137
"181","05139",0.116,0.179,0.098,0.262,0.344,5139
"182","05141",0.033,0.06,0.096,0.272,0.539,5141
"183","05143",0.034,0.028,0.101,0.186,0.651,5143
"184","05145",0.026,0.054,0.152,0.277,0.491,5145
"185","05147",0.059,0.048,0.208,0.231,0.454,5147
"186","05149",0.116,0.1,0.112,0.198,0.474,5149
"187","06001",0.019,0.008,0.055,0.123,0.795,6001
"188","06003",0.025,0.085,0.088,0.19,0.612,6003
"189","06005",0.045,0.013,0.099,0.188,0.655,6005
"190","06007",0.015,0.043,0.111,0.204,0.626,6007
"191","06009",0.045,0.019,0.098,0.276,0.562,6009
"192","06011",0.027,0.031,0.092,0.151,0.7,6011
"193","06013",0.018,0.016,0.039,0.121,0.806,6013
"194","06015",0.01,0.135,0.112,0.196,0.547,6015
"195","06017",0.028,0.042,0.072,0.183,0.675,6017
"196","06019",0.021,0.022,0.059,0.156,0.741,6019
"197","06021",0.028,0.026,0.146,0.206,0.594,6021
"198","06023",0.042,0.006,0.018,0.069,0.865,6023
"199","06025",0.001,0.005,0.03,0.128,0.836,6025
"200","06027",0.033,0.011,0.008,0.058,0.889,6027
"201","06029",0.022,0.028,0.105,0.177,0.668,6029
"202","06031",0.075,0.016,0.049,0.094,0.766,6031
"203","06033",0.003,0.004,0.007,0.136,0.849,6033
"204","06035",0.064,0.068,0.162,0.225,0.482,6035
"205","06037",0.021,0.013,0.049,0.131,0.786,6037
"206","06039",0.019,0.059,0.048,0.124,0.751,6039
"207","06041",0.011,0,0.046,0.141,0.802,6041
"208","06043",0.01,0.094,0.049,0.186,0.661,6043
"209","06045",0.002,0.003,0.004,0.222,0.77,6045
"210","06047",0.026,0.036,0.089,0.146,0.703,6047
"211","06049",0.068,0.019,0.095,0.204,0.615,6049
"212","06051",0.011,0.026,0.012,0.07,0.88,6051
"213","06053",0.023,0.006,0.066,0.141,0.763,6053
"214","06055",0.017,0.026,0.033,0.149,0.773,6055
"215","06057",0.003,0.054,0.084,0.177,0.682,6057
"216","06059",0.023,0.021,0.046,0.156,0.754,6059
"217","06061",0.012,0.023,0.072,0.201,0.693,6061
"218","06063",0.063,0.067,0.053,0.146,0.671,6063
"219","06065",0.026,0.014,0.041,0.116,0.803,6065
"220","06067",0.025,0.028,0.062,0.164,0.722,6067
"221","06069",0.018,0.004,0.063,0.175,0.739,6069
"222","06071",0.027,0.022,0.048,0.134,0.768,6071
"223","06073",0.017,0.023,0.034,0.126,0.8,6073
"224","06075",0.017,0.011,0.035,0.121,0.817,6075
"225","06077",0.054,0.019,0.081,0.165,0.68,6077
"226","06079",0.025,0.024,0.037,0.169,0.745,6079
"227","06081",0.016,0.013,0.058,0.126,0.786,6081
"228","06083",0.015,0.02,0.075,0.153,0.737,6083
"229","06085",0.015,0.014,0.04,0.168,0.764,6085
"230","06087",0.008,0,0.086,0.109,0.797,6087
"231","06089",0.095,0.056,0.071,0.232,0.547,6089
"232","06091",0.14,0.053,0.047,0.143,0.617,6091
"233","06093",0.132,0.074,0.082,0.167,0.546,6093
"234","06095",0.043,0.046,0.035,0.148,0.728,6095
"235","06097",0.022,0.012,0.022,0.149,0.795,6097
"236","06099",0.032,0.028,0.062,0.173,0.705,6099
"237","06101",0.058,0.031,0.08,0.163,0.669,6101
"238","06103",0.057,0.062,0.141,0.195,0.545,6103
"239","06105",0.081,0.07,0.055,0.201,0.592,6105
"240","06107",0.025,0.039,0.115,0.136,0.685,6107
"241","06109",0.008,0.043,0.084,0.212,0.653,6109
"242","06111",0.024,0.011,0.033,0.156,0.777,6111
"243","06113",0.007,0.005,0.04,0.156,0.791,6113
"244","06115",0.057,0.035,0.071,0.167,0.669,6115
"245","08001",0.032,0.027,0.071,0.185,0.685,8001
"246","08003",0.052,0.133,0.094,0.228,0.493,8003
"247","08005",0.013,0.026,0.065,0.193,0.703,8005
"248","08007",0.041,0.041,0.155,0.276,0.488,8007
"249","08009",0.113,0.053,0.194,0.206,0.435,8009
"250","08011",0.033,0.036,0.172,0.191,0.567,8011
"251","08013",0.008,0.015,0.032,0.195,0.75,8013
"252","08014",0.018,0.005,0.042,0.201,0.734,8014
"253","08015",0.038,0.045,0.134,0.138,0.645,8015
"254","08017",0.016,0.187,0.106,0.398,0.292,8017
"255","08019",0.002,0.015,0.138,0.123,0.723,8019
"256","08021",0.06,0.106,0.093,0.195,0.545,8021
"257","08023",0.034,0.072,0.076,0.175,0.644,8023
"258","08025",0.002,0.034,0.08,0.294,0.59,8025
"259","08027",0.017,0.098,0.153,0.234,0.498,8027
"260","08029",0.087,0.094,0.074,0.295,0.45,8029
"261","08031",0.02,0.018,0.062,0.194,0.707,8031
"262","08033",0.052,0.039,0.066,0.252,0.591,8033
"263","08035",0.013,0.041,0.081,0.192,0.673,8035
"264","08037",0.008,0.003,0.033,0.269,0.687,8037
"265","08039",0.016,0.044,0.19,0.246,0.505,8039
"266","08041",0.031,0.089,0.081,0.196,0.603,8041
"267","08043",0.006,0.069,0.062,0.2,0.663,8043
"268","08045",0.065,0.04,0.037,0.326,0.532,8045
"269","08047",0.001,0.027,0.017,0.17,0.785,8047
"270","08049",0.006,0.002,0.05,0.187,0.754,8049
"271","08051",0.057,0.039,0.043,0.281,0.581,8051
