,Date,Predicted_Cumulative_NPF,Predicted_Cumulative_NPNF,Predicted_Cumulative_PF,Predicted_Cumulative_PNF
132,2020-8-10,81448.76828,123634.5437,652.5689357,696.909976
133,2020-8-11,85566.00609,131895.0607,665.8552856,713.5626897
134,2020-8-12,89888.48949,140707.4272,679.4373079,730.6327653
135,2020-8-13,94386.97198,150051.0173,693.3385523,748.1305824
136,2020-8-14,99048.74519,159992.9692,707.4959043,766.0474155
137,2020-8-15,103910.7175,170552.8947,721.8930153,784.3881742
138,2020-8-16,108991.885,181792.4059,736.4690276,803.0683746
139,2020-8-17,114261.1794,193700.8193,751.1762495,822.1256683
140,2020-8-18,119720.3158,206352.0279,765.9996269,841.6112058
141,2020-8-19,125458.537,219826.534,781.0939105,861.5550133
142,2020-8-20,131496.7909,234224.587,796.5632856,882.0069217
143,2020-8-21,137804.6554,249526.5921,812.348824,902.9733276
144,2020-8-22,144494.5487,265915.3356,828.6902907,924.5866734
145,2020-8-23,151485.4183,283376.1894,845.1855034,946.6345722
146,2020-8-24,158726.9085,301892.4461,861.8467337,969.1074064
147,2020-8-25,166264.4504,321599.536,878.4403575,991.9827215
148,2020-8-26,174162.5058,342572.5048,895.3143579,1015.350688
149,2020-8-27,182358.0362,364813.7983,912.3499911,1039.218617
150,2020-8-28,190883.3384,388438.5927,929.4665033,1063.527989
151,2020-8-29,199724.4384,413459.7511,946.6559947,1088.292663
152,2020-8-30,208940.754,440058.3095,964.1755878,1113.642143
153,2020-8-31,218669.8084,468408.4769,982.3113904,1139.801935
154,2020-9-1,228862.7916,498561.969,1000.9773,1166.625178
155,2020-9-2,239616.9237,530770.9627,1020.100547,1194.118965
156,2020-9-3,250856.567,564944.3953,1039.64908,1222.264486
157,2020-9-4,262645.3923,601351.2268,1059.619434,1251.111206
158,2020-9-5,275151.5518,640182.8392,1080.806836,1280.541516
159,2020-9-6,288559.1038,681571.6008,1103.979279,1310.720488
160,2020-9-7,304363.0671,728305.2039,1132.363674,1344.424686
161,2020-9-8,321335.2747,779160.8425,1162.829809,1379.533848
162,2020-9-9,339833.591,833914.8333,1194.935956,1415.34662
163,2020-9-10,359447.4371,892366.844,1228.047816,1452.439418
164,2020-9-11,379866.4834,954760.7296,1261.766246,1490.421528
165,2020-9-12,401204.214,1021092.83,1295.962382,1529.264409
